id,streetAddress,city,county,price,yearBuilt,buildingArea,homeType,levels,Cluster
95110-153245291,105 Pierce Ave,San Jose,Santa Clara County,0.020526315789473684,0.19851985198519853,0.0,0.75,0.0,0
90028-20792435,6220 De Longpre Ave,Los Angeles,Los Angeles County,0.05263157894736842,0.19171917191719173,0.0,0.75,0.0,0
94085-153203274,378 America Ave,Sunnyvale,Santa Clara County,0.019999473684210525,0.19771977197719773,0.0,0.75,0.0,0
94085-2070231982,664 N Ahwanee Ter,Sunnyvale,Santa Clara County,0.009452631578947369,0.19791979197919793,0.0,0.5,0.0,0
94085-2070171956,310 Dunsmuir Ter UNIT 1,Sunnyvale,Santa Clara County,0.009463157894736842,0.19961996199619964,0.0,1.0,0.0,0
94085-2070138846,473 Costa Mesa Ter APT A,Sunnyvale,Santa Clara County,0.010515789473684211,0.19851985198519853,0.0,0.5,0.0,0
94085-2072168385,757 Brea Ter,Sunnyvale,Santa Clara County,0.010484210526315789,0.20052005200520054,0.0,1.0,0.0,0
90028-2113485132,1315 N Orange Dr,Los Angeles,Los Angeles County,0.02894736842105263,0.19491949194919492,0.0005815909790935149,0.75,0.0,0
90028-250337866,5939 Carlton Way,Los Angeles,Los Angeles County,0.02631578947368421,0.19201920192019203,0.0,0.75,0.0,0
91206-2069886752,711 N Jackson St,Glendale,Los Angeles County,0.018947368421052633,0.19631963196319632,0.0006321353184530652,0.75,0.0,0
94085-2070942522,346 Dunsmuir Ter UNIT 10,Sunnyvale,Santa Clara County,0.006684210526315789,0.19961996199619964,0.0,0.5,0.0,0
94085-2069810533,430 Costa Mesa Ter APT F,Sunnyvale,Santa Clara County,0.008936842105263158,0.19851985198519853,0.0,0.5,0.0,0
94085-19541841,649 W Eden Ave,Sunnyvale,Santa Clara County,0.01682105263157895,0.19621962196219622,0.0,0.75,0.0,0
94085-2069710221,955 Highland Ter,Sunnyvale,Santa Clara County,0.010526305263157894,0.2011201120112011,0.0,0.5,0.0,0
93728-82866592,974 N Lafayette Ave,Fresno,Fresno County,0.005263157894736842,0.19791979197919793,0.0,0.75,0.0,0
94085-2069649552,1054 Doheny Ter,Sunnyvale,Santa Clara County,0.015671578947368422,0.2012201220122012,0.0,1.0,0.0,0
90028-20793033,1351 N Orange Dr APT 107,Los Angeles,Los Angeles County,0.00431578947368421,0.19771977197719773,0.0,0.5,0.0,0
94063-15563530,754 Whipple Ave,Redwood City,San Mateo County,0.01994736842105263,0.19651965196519652,0.0,0.75,0.0,0
90028-80391260,7062 Hawthorn Ave APT 202,Los Angeles,Los Angeles County,0.008947368421052631,0.20062006200620064,0.0,0.5,0.0,0
94063-15566997,341 Dumbarton Ave,Redwood City,San Mateo County,0.01788421052631579,0.20092009200920094,0.0,0.75,0.0,0
94063-15567208,565 Hampshire Ave,Redwood City,San Mateo County,0.018947368421052633,0.19631963196319632,0.0,0.75,0.0,0
94063-82960451,720 Elm St,Redwood City,San Mateo County,0.022821052631578947,0.1938193819381938,0.0,0.75,0.0,0
92801-25158084,2179 W Brownwood Ave,Anaheim,Orange County,0.01468421052631579,0.19641964196419642,0.0004362484137299173,0.75,0.0,0
90028-20793049,1351 N Orange Dr APT 202,Los Angeles,Los Angeles County,0.004578947368421052,0.19771977197719773,0.0,0.5,0.0,0
90028-20807961,1830 Taft Ave APT 105,Los Angeles,Los Angeles County,0.007367368421052631,0.19621962196219622,0.0,0.5,0.0,0
92410-2077043289,Plan 3 Plan,San Bernardino,San Bernardino County,0.003568421052631579,0.20212021202120212,0.0,1.0,0.0,0
94063-2069930581,126-128 Broadway St,Redwood City,San Mateo County,0.014201168421052632,0.19521952195219522,0.0,0.75,0.0,0
92324-17253047,1044 N Mount Vernon Ave,Colton,San Bernardino County,0.0063052631578947365,0.1938193819381938,0.00017502908782586615,0.75,0.0,0
93701-79539335,2306 E Webster Ave,Fresno,Fresno County,0.0030526315789473684,0.20062006200620064,0.0,0.75,0.0,0
91377-16496922,697 Sutton Crest Trl UNIT 206,Oak Park,Ventura County,0.004683157894736842,0.19901990199019903,0.0,0.5,0.0,0
90028-20792433,6210 De Longpre Ave,Los Angeles,Los Angeles County,0.05263157894736842,0.19201920192019203,0.0,0.75,0.0,0
94403-15630907,3121 Los Prados St APT 3,San Mateo,San Mateo County,0.008188294736842105,0.19591959195919592,0.0,0.5,0.0,0
91030-2069815835,1722-1728 Meridian Ave,South Pasadena,Los Angeles County,0.06578947368421052,0.19551955195519552,0.0017555881015976537,0.75,0.0,0
92805-122240313,730 S Casita St,Anaheim,Orange County,0.006157894736842105,0.20132013201320131,0.0,0.5,0.0,0
94804-18536604,2808 Macdonald Ave,Richmond,Contra Costa County,0.06505263157894736,0.19621962196219622,0.0,0.75,0.0,0
94806-18514031,1013 Pinewood Ter,San Pablo,Contra Costa County,0.005,0.19851985198519853,0.00014567364182228455,0.5,0.0,0
93041-16400510,962 Gill Ave,Port Hueneme,Ventura County,0.006842105263157895,0.19641964196419642,0.0,0.75,0.0,0
95835-64873384,4800 Westlake Pkwy UNIT 2803,Sacramento,Sacramento County,0.0032526315789473685,0.20052005200520054,0.0,0.5,0.0,0
94804-2100350111,500 Hayes St,Richmond,Contra Costa County,0.02736842105263158,0.19201920192019203,0.0,0.75,0.0,0
95835-2072006730,Plan 1 Plan,Sacramento,Sacramento County,0.004042,0.20212021202120212,0.0,0.5,0.0,0
92653-69259120,25561 Indian Hill Ln UNIT M,Laguna Hills,Orange County,0.00530421052631579,0.19851985198519853,0.0,0.5,0.0,0
94403-15629827,2001 Alameda De Las Pulgas APT 164,San Mateo,San Mateo County,0.010505263157894736,0.19741974197419743,0.0,1.0,0.0,0
90019-20602179,1504 S Bronson Ave,Los Angeles,Los Angeles County,0.014210526315789474,0.19241924192419244,0.0004833716296830351,0.75,0.0,0
94403-2105007210,2044 S Delaware St,San Mateo,San Mateo County,0.009463157894736842,0.19931993199319933,0.0,0.5,0.0,0
94403-2069649565,430 Burns Ln,San Mateo,San Mateo County,0.020210526315789474,0.20152015201520151,0.0,1.0,0.0,0
94403-2084479189,3041 Baze Rd,San Mateo,San Mateo County,0.01566315789473684,0.20172017201720172,0.0,1.0,0.0,0
90019-89143315,957 S Gramercy Dr APT 204,Los Angeles,Los Angeles County,0.0054631578947368425,0.19901990199019903,0.0,0.5,0.0,0
90007-20593000,1460 W 22nd St,Los Angeles,Los Angeles County,0.007357894736842105,0.19101910191019103,0.0003372565525825012,0.75,0.0,0
90004-20781468,536 N Oxford Ave,Los Angeles,Los Angeles County,0.01263157894736842,0.19141914191419143,0.00023263639163740595,0.75,0.0,0
90039-20747375,2018 Griffith Park Blvd APT 320,Los Angeles,Los Angeles County,0.007884210526315789,0.19821982198219823,0.0,0.5,0.0,0
90029-20790778,831 N Heliotrope Dr,Los Angeles,Los Angeles County,0.012894736842105263,0.19211921192119213,0.0004542369013185782,0.75,0.0,0
90020-20773805,525 S Berendo St UNIT 310,Los Angeles,Los Angeles County,0.0058842105263157895,0.19911991199119913,0.0,0.5,0.0,0
90746-55198419,1206 Evergreen Ct,Carson,Los Angeles County,0.005778947368421053,0.20002000200020004,0.0,1.0,0.0,0
